name,price,category,weight,emission,compensation_price
Coros PACE 2,149.0,Sports watches + Smartwatches,29 g,3.91,0.11
Zens Liberty Charger Glass Edition,139.0,Wireless charger,655 g,21.71,0.51
Acer Aspire 5,429.0,Notebook,1.76 kg,347.21,8.22
Klipsch The Fives,589.0,Hi-fi + Home cinema speakers,16 kg,1537.71,29.45
Klipsch The Fives,820.0,Hi-fi + Home cinema speakers,10.50 kg,1500.99,35.56
HP M479dw Color LaserJet Pro,495.0,Printer,21.80 kg,220.24,5.21
Samsung QE55QN90B,1201.0,TV,21.90 kg,1768.12,41.9
Xplora Kids Watch X5 Play,119.0,Sports watches + Smartwatches,34 g,3.3,0.11
